tool	community	rank	metric	value	tool2
singlem	marine0	kingdom	Bray-Curtis distance	0.0011062282163964	SingleM
singlem	marine0	phylum	Bray-Curtis distance	0.0187696309951228	SingleM
singlem	marine0	class	Bray-Curtis distance	0.0224995091134458	SingleM
singlem	marine0	order	Bray-Curtis distance	0.0322821265333771	SingleM
singlem	marine0	family	Bray-Curtis distance	0.0382962299710524	SingleM
singlem	marine0	genus	Bray-Curtis distance	0.0506219948430727	SingleM
singlem	marine0	species	Bray-Curtis distance	0.110664166014949	SingleM
metaphlan	marine0	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine0	phylum	Bray-Curtis distance	0.118137532695868	MetaPhlAn
metaphlan	marine0	class	Bray-Curtis distance	0.136796384939407	MetaPhlAn
metaphlan	marine0	order	Bray-Curtis distance	0.190096460130286	MetaPhlAn
metaphlan	marine0	family	Bray-Curtis distance	0.202129995000523	MetaPhlAn
metaphlan	marine0	genus	Bray-Curtis distance	0.222075391860547	MetaPhlAn
metaphlan	marine0	species	Bray-Curtis distance	0.288099141718484	MetaPhlAn
motus	marine0	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine0	phylum	Bray-Curtis distance	0.112696194211084	mOTUs
motus	marine0	class	Bray-Curtis distance	0.137245041327064	mOTUs
motus	marine0	order	Bray-Curtis distance	0.220918577071992	mOTUs
motus	marine0	family	Bray-Curtis distance	0.23702826980638	mOTUs
motus	marine0	genus	Bray-Curtis distance	0.265892318066395	mOTUs
motus	marine0	species	Bray-Curtis distance	0.43269467548207	mOTUs
kraken	marine0	kingdom	Bray-Curtis distance	0.000160000000000027	Kraken2
kraken	marine0	phylum	Bray-Curtis distance	0.140145487434617	Kraken2
kraken	marine0	class	Bray-Curtis distance	0.15599207706272	Kraken2
kraken	marine0	order	Bray-Curtis distance	0.196889080644567	Kraken2
kraken	marine0	family	Bray-Curtis distance	0.212599360184156	Kraken2
kraken	marine0	genus	Bray-Curtis distance	0.234689777713267	Kraken2
kraken	marine0	species	Bray-Curtis distance	0.263992931679858	Kraken2
sourmash	marine0	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine0	phylum	Bray-Curtis distance	0.0628585296665371	sourmash
sourmash	marine0	class	Bray-Curtis distance	0.0842851039175436	sourmash
sourmash	marine0	order	Bray-Curtis distance	0.115798518865107	sourmash
sourmash	marine0	family	Bray-Curtis distance	0.180493601257726	sourmash
sourmash	marine0	genus	Bray-Curtis distance	0.250291908492407	sourmash
sourmash	marine0	species	Bray-Curtis distance	0.37747922985354	sourmash
singlem	marine1	kingdom	Bray-Curtis distance	0.00179721756076434	SingleM
singlem	marine1	phylum	Bray-Curtis distance	0.0216697114250276	SingleM
singlem	marine1	class	Bray-Curtis distance	0.0249438807780504	SingleM
singlem	marine1	order	Bray-Curtis distance	0.0379079486826073	SingleM
singlem	marine1	family	Bray-Curtis distance	0.0448398032462358	SingleM
singlem	marine1	genus	Bray-Curtis distance	0.060794943361127	SingleM
singlem	marine1	species	Bray-Curtis distance	0.141990851344705	SingleM
metaphlan	marine1	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine1	phylum	Bray-Curtis distance	0.0831930483612833	MetaPhlAn
metaphlan	marine1	class	Bray-Curtis distance	0.0886633237429033	MetaPhlAn
metaphlan	marine1	order	Bray-Curtis distance	0.122742620144176	MetaPhlAn
metaphlan	marine1	family	Bray-Curtis distance	0.153191258729539	MetaPhlAn
metaphlan	marine1	genus	Bray-Curtis distance	0.178690655689348	MetaPhlAn
metaphlan	marine1	species	Bray-Curtis distance	0.244470658050452	MetaPhlAn
motus	marine1	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine1	phylum	Bray-Curtis distance	0.0975842627351092	mOTUs
motus	marine1	class	Bray-Curtis distance	0.10234729008199	mOTUs
motus	marine1	order	Bray-Curtis distance	0.132689162741654	mOTUs
motus	marine1	family	Bray-Curtis distance	0.171056999044167	mOTUs
motus	marine1	genus	Bray-Curtis distance	0.205702132812245	mOTUs
motus	marine1	species	Bray-Curtis distance	0.371786115421146	mOTUs
kraken	marine1	kingdom	Bray-Curtis distance	0.000120000000000002	Kraken2
kraken	marine1	phylum	Bray-Curtis distance	0.098248439025202	Kraken2
kraken	marine1	class	Bray-Curtis distance	0.104704379970932	Kraken2
kraken	marine1	order	Bray-Curtis distance	0.151597214928135	Kraken2
kraken	marine1	family	Bray-Curtis distance	0.170033882492229	Kraken2
kraken	marine1	genus	Bray-Curtis distance	0.194076787131232	Kraken2
kraken	marine1	species	Bray-Curtis distance	0.248540367512302	Kraken2
sourmash	marine1	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine1	phylum	Bray-Curtis distance	0.10640434589749	sourmash
sourmash	marine1	class	Bray-Curtis distance	0.113709062326763	sourmash
sourmash	marine1	order	Bray-Curtis distance	0.159502835058553	sourmash
sourmash	marine1	family	Bray-Curtis distance	0.211499713766468	sourmash
sourmash	marine1	genus	Bray-Curtis distance	0.252012968583485	sourmash
sourmash	marine1	species	Bray-Curtis distance	0.458798564403567	sourmash
singlem	marine2	kingdom	Bray-Curtis distance	0.00160409333697315	SingleM
singlem	marine2	phylum	Bray-Curtis distance	0.0345759734391152	SingleM
singlem	marine2	class	Bray-Curtis distance	0.0372008861363888	SingleM
singlem	marine2	order	Bray-Curtis distance	0.0527866115151937	SingleM
singlem	marine2	family	Bray-Curtis distance	0.0604048103574525	SingleM
singlem	marine2	genus	Bray-Curtis distance	0.0716765609205135	SingleM
singlem	marine2	species	Bray-Curtis distance	0.137077880852874	SingleM
metaphlan	marine2	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine2	phylum	Bray-Curtis distance	0.119847576321257	MetaPhlAn
metaphlan	marine2	class	Bray-Curtis distance	0.126706734566173	MetaPhlAn
metaphlan	marine2	order	Bray-Curtis distance	0.1586494448877	MetaPhlAn
metaphlan	marine2	family	Bray-Curtis distance	0.192031234193244	MetaPhlAn
metaphlan	marine2	genus	Bray-Curtis distance	0.214971693832262	MetaPhlAn
metaphlan	marine2	species	Bray-Curtis distance	0.261425390204539	MetaPhlAn
motus	marine2	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine2	phylum	Bray-Curtis distance	0.152153743368238	mOTUs
motus	marine2	class	Bray-Curtis distance	0.157702182352896	mOTUs
motus	marine2	order	Bray-Curtis distance	0.195311190560933	mOTUs
motus	marine2	family	Bray-Curtis distance	0.210791509860814	mOTUs
motus	marine2	genus	Bray-Curtis distance	0.24762207018111	mOTUs
motus	marine2	species	Bray-Curtis distance	0.43548048465117	mOTUs
kraken	marine2	kingdom	Bray-Curtis distance	9.00000000000017e-05	Kraken2
kraken	marine2	phylum	Bray-Curtis distance	0.129235655727315	Kraken2
kraken	marine2	class	Bray-Curtis distance	0.14008138487648	Kraken2
kraken	marine2	order	Bray-Curtis distance	0.178007569737252	Kraken2
kraken	marine2	family	Bray-Curtis distance	0.203940141482652	Kraken2
kraken	marine2	genus	Bray-Curtis distance	0.229517067255461	Kraken2
kraken	marine2	species	Bray-Curtis distance	0.268280375715872	Kraken2
sourmash	marine2	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine2	phylum	Bray-Curtis distance	0.0797734525174541	sourmash
sourmash	marine2	class	Bray-Curtis distance	0.0883057223488109	sourmash
sourmash	marine2	order	Bray-Curtis distance	0.14775741187572	sourmash
sourmash	marine2	family	Bray-Curtis distance	0.189843535325685	sourmash
sourmash	marine2	genus	Bray-Curtis distance	0.221872731082763	sourmash
sourmash	marine2	species	Bray-Curtis distance	0.376736634222359	sourmash
singlem	marine3	kingdom	Bray-Curtis distance	0.00118394846814119	SingleM
singlem	marine3	phylum	Bray-Curtis distance	0.0210703449270825	SingleM
singlem	marine3	class	Bray-Curtis distance	0.0240198512279443	SingleM
singlem	marine3	order	Bray-Curtis distance	0.0369979259987587	SingleM
singlem	marine3	family	Bray-Curtis distance	0.0469848711261351	SingleM
singlem	marine3	genus	Bray-Curtis distance	0.0622306947008788	SingleM
singlem	marine3	species	Bray-Curtis distance	0.149560723525251	SingleM
metaphlan	marine3	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine3	phylum	Bray-Curtis distance	0.0835116121107962	MetaPhlAn
metaphlan	marine3	class	Bray-Curtis distance	0.096984726224687	MetaPhlAn
metaphlan	marine3	order	Bray-Curtis distance	0.158218362837368	MetaPhlAn
metaphlan	marine3	family	Bray-Curtis distance	0.202704008123304	MetaPhlAn
metaphlan	marine3	genus	Bray-Curtis distance	0.225914559300423	MetaPhlAn
metaphlan	marine3	species	Bray-Curtis distance	0.293089322559164	MetaPhlAn
motus	marine3	kingdom	Bray-Curtis distance	0	mOTUs
