tool	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives	Unweighted UniFrac (CAMI)	Unweighted UniFrac error	Weighted UniFrac (CAMI)	Weighted UniFrac error
SingleM	kingdom	0.00213139560999374	1	1	0	0	1	0.00426279121998749	1					2				
MetaPhlAn	kingdom	0.00208773752297029	1	1	0	0	1	0.00417547504594059	1					2				
Kraken2	kingdom	0.0058383088438022	1	1	0	0	1	0.0116766176876044	1					2				
sourmash	kingdom	0.00503272787058498	1	1	0	0	1	0.01006545574117	1					2				
Metabuli	kingdom	0.00628873341841004	1	1	0	0	1	0.0125774668368201	1					2				
SingleM	phylum	0.019942590217167	0.997142857142857	0.991584171696848	0.1	0.5	0.983479532163743	0.0397503057440132	0.986177944862155	1.96208244506763	0.547211043034644	0.993667242747203	36.1	35.6				
MetaPhlAn	phylum	0.0667842915520723	0.857212982212982	0.923111449441754	5.1	0	0.857212982212982	0.133568583104145	1	1.98879831732214	0.581480581654231	1	30.6	30.6				
Kraken2	phylum	0.130979389716513	1	0.825072859987885	0	15.2	0.703437480480271	0.261952066054429	0.703437480480271	1.75453253899794	0.446666586344322	0.999951	50.9	35.7				
sourmash	phylum	0.13917732404219	0.742327657327657	0.851490373437764	9.2	0	0.742327657327657	0.278132994025315	1	1.73860786617681	0.530435679370292	0.998517467500144	26.5	26.5				
Metabuli	phylum	0.184399906086937	0.913302148302148	0.703181355873196	3.1	24.4	0.542377049180328	0.364563924164079	0.571929824561404	1.52056413241202	0.376093210716674	0.977101612942299	57	32.6				
SingleM	class	0.0215085618273262	0.994191638919719	0.992319675749827	0.3	0.5	0.984857490004549	0.0428031060526535	0.990520555101576	2.32747020880655	0.586904111677313	0.990516857187382	52.8	52.3				
MetaPhlAn	class	0.0855200895942205	0.843713071882539	0.915188798130401	8.2	0	0.843713071882539	0.171040179188441	1	2.33809452619164	0.616730304818867	1	44.4	44.4				
Kraken2	class	0.143077052996756	1	0.714093441765068	0	42.3	0.556473443172115	0.286136255950233	0.556473443172115	2.1781165404716	0.478628259716928	0.999873000000001	94.9	52.6				
sourmash	class	0.152662114281945	0.721850290059177	0.837342009870432	14.6	0	0.721850290059177	0.305067530324861	1	2.16371356560768	0.595378277598007	0.998501016143368	38	38				
Metabuli	class	0.203469762714367	0.914812218270062	0.553998131014689	4.5	72.9	0.38321154855643	0.401408046571562	0.397520661157025	1.95329629698774	0.407293912946462	0.972883019579009	121	48.1				
SingleM	order	0.0286725455720895	0.99696338109712	0.998473951229369	0.3	0	0.99696338109712	0.0568793282959029	1	3.38151914773526	0.73257124705346	0.984226092113946	101.3	101.3				
MetaPhlAn	order	0.10857485160984	0.873052594128068	0.932216037316038	12.9	0	0.873052594128068	0.217149703219681	1	3.36538260013479	0.750711429047983	1	88.7	88.7				
Kraken2	order	0.179836414303706	0.990113652224385	0.70488536648121	1	83.7	0.546512717568996	0.359598667219039	0.549513145339931	3.2413010126554	0.621807999029746	0.999583000000002	184.3	100.6				
sourmash	order	0.191923543039353	0.734188056662031	0.846092473576272	26.9	0	0.734188056662031	0.383057414430664	1	3.2063035513788	0.743955828318626	0.995674301675315	74.7	74.7				
Metabuli	order	0.261580748230591	0.855436324887716	0.436824565735387	14.8	208.8	0.279537112746525	0.512421667149359	0.293624599175447	3.02072644522858	0.53097415841835	0.959424280377345	295.6	86.8				
SingleM	family	0.0352223315268235	0.997561092134932	0.998776811684811	0.4	0	0.997561092134932	0.0695814693639143	1	3.92756564218953	0.765774999546353	0.97585240564414	169.3	169.3				
MetaPhlAn	family	0.124487153135366	0.866226492472453	0.928315440773627	22.7	0	0.866226492472453	0.248974306270733	1	3.9385150135277	0.78968498480313	1	147	147				
Kraken2	family	0.200314484893041	0.95739760487424	0.670489767432221	7.3	152.8	0.505758905310407	0.400469289255921	0.517751060028397	3.76227541159982	0.654339037841648	0.999201000000003	315.2	162.4				
sourmash	family	0.216512667575931	0.712666456382851	0.831685849787997	48.7	0	0.712666456382851	0.431870485753863	1	3.72141871642957	0.776510099996171	0.994452317283491	121	121				
