tool	threads	community	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	mature_s
singlem	1	marine0	2429.6705	0:40:29	1985.88	4874.21	1901.91	1910.73	3985.68	554.91	90.68	2235.94	2429.6705
metaphlan	1	marine0	11540.454	3:12:20	17543.21	19220.65	17471.39	17496.78	36.81	117.05	200.07	23090.05	23090.05
kraken	1	marine0	1028.218	0:17:08	294849.66	294864.57	294843.4	294843.6	14346.53	0.01	96.51	992.36	1028.218
sourmash	1	marine0	3405.0512	0:56:45	1276.28	8817.4	1231.66	1236.06	9871.12	29.63	95	3240.74	3405.0512
metabuli	1	marine0	940.5366	0:15:40	132006.88	142700.52	132005.25	132005.45	6667.43	1295.78	2426.36	22821.05	22821.05
singlem	1	marine1	2417.1661	0:40:17	2001.84	4904.12	1918.76	1926.47	3647.16	623.87	89.05	2177.54	2417.1661
metaphlan	1	marine1	10191.1973	2:49:51	17548.58	19220.65	17470.08	17477.78	3327.86	108.02	200.36	20420.52	20420.52
kraken	1	marine1	1022.1079	0:17:02	294848.6	294861.27	294843.53	294843.66	31902.99	0.01	95.57	976.93	1022.1079
sourmash	1	marine1	3814.4383	1:03:34	1392.38	8826.78	1347.33	1351.59	8253.4	33.02	95.55	3661.59	3814.4383
metabuli	1	marine1	924.1942	0:15:24	126881.15	142691.18	126879.32	126879.51	625.43	1329.51	2461.58	22750.14	22750.14
singlem	1	marine2	2482.6572	0:41:22	2011.43	4894.72	1927.59	1936.65	3833.45	567.06	89.84	2250.42	2482.6572
metaphlan	1	marine2	11437.4866	3:10:37	17542.34	19220.78	17463.92	17481.55	1228.25	115.31	200.07	22884.07	22884.07
kraken	1	marine2	1055.6143	0:17:35	294872.29	294884.86	294866.98	294867.09	47571.16	0.01	95.6	1009.44	1055.6143
sourmash	1	marine2	3407.0338	0:56:47	1332.68	8826.59	1288.05	1292.27	9250.08	32.28	95.48	3278.67	3407.0338
metabuli	1	marine2	958.0609	0:15:58	124573.75	142688.89	124571.9	124572.03	260	1251.02	2443.81	23413.38	23413.38
singlem	1	marine3	2497.0142	0:41:37	1862.94	4618.21	1778.64	1787.6	3862.45	656.53	89.71	2252.48	2497.0142
metaphlan	1	marine3	10907.1884	3:01:47	17544.46	19220.78	17464.64	17475.98	5.54	107.9	200.33	21851.11	21851.11
kraken	1	marine3	1136.1673	0:18:56	294988.61	295004.59	294983.2	294983.31	52327.56	0.01	94.89	1078.25	1136.1673
