community,tool,runtime_seconds,max_rss
marine0,SingleM,2095.253,2118.18
marine0,MetaPhlAn,22857.8442,17510.76
marine0,Kraken2,991.0659,294865.69
marine0,sourmash,2367.8702,3002.38
marine0,Metabuli,18235.5728,131401.43
marine1,SingleM,1972.5902,1976.73
marine1,MetaPhlAn,22262.5074,17533.09
marine1,Kraken2,996.5178,294883.8
marine1,sourmash,2926.1731,2290.08
marine1,Metabuli,17617.1646,125507.72
marine2,SingleM,2100.5872,2117.58
marine2,MetaPhlAn,23464.9678,17535.79
marine2,Kraken2,998.1579,294882.3
marine2,sourmash,2881.4964,2733.77
marine2,Metabuli,18311.4848,131304.78
marine3,SingleM,2125.9455,1977.18
marine3,MetaPhlAn,22264.8641,17520.16
marine3,Kraken2,1045.1527,294975.56
marine3,sourmash,3788.7282,2824.56
marine3,Metabuli,17238.9099,117202.84
marine4,SingleM,2103.4777,1862.92
marine4,MetaPhlAn,23114.7357,17525.47
marine4,Kraken2,1077.5179,294897.97
marine4,sourmash,2689.5263,2701.5
marine4,Metabuli,18516.6198,122456.56
marine5,SingleM,2196.8166,1952.32
marine5,MetaPhlAn,24243.3492,17499.95
marine5,Kraken2,1181.437,294878.05
marine5,sourmash,3156.7389,2582.37
marine5,Metabuli,18623.9741,119530.32
marine6,SingleM,1899.1124,1925.83
marine6,MetaPhlAn,20370.3015,17533.62
marine6,Kraken2,983.5231,294878.87
marine6,sourmash,3133.5257,2589.71
marine6,Metabuli,16243.9432,114214.88
marine7,SingleM,2056.5932,1894.72
marine7,MetaPhlAn,21866.6973,17527.47
marine7,Kraken2,1066.7611,294855.56
marine7,sourmash,2731.1585,2587.09
marine7,Metabuli,17123.0898,131290.8
marine8,SingleM,2034.6158,1995.64
marine8,MetaPhlAn,22106.3023,17507
marine8,Kraken2,1126.5865,294892.93
marine8,sourmash,3228.0325,2350.07
marine8,Metabuli,17884.692,108607.34
marine9,SingleM,1822.2707,1773.15
marine9,MetaPhlAn,18641.8584,17536.11
marine9,Kraken2,946.6646,294760.47
marine9,sourmash,2388.0255,2679.8
marine9,Metabuli,14826.6716,106246.21
