user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
10_S10_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__	N/A	N/A	N/A	N/A	N/A	GCF_900312675.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio sp900312675	92.91	0.827	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000953695.1, s__Aliivibrio wodanis, 95.0, 88.86, 0.706; GCF_008933155.1, s__Aliivibrio finisterrensis, 95.0, 87.56, 0.771; GCF_002954705.1, s__Aliivibrio sifiae_A, 95.0, 87.4, 0.738; GCF_002954715.1, s__Aliivibrio sifiae, 95.0, 87.28, 0.759; GCF_001690985.1, s__Aliivibrio sp001690985, 95.0, 86.97, 0.744; GCF_000196495.1, s__Aliivibrio salmonicida_A, 95.0, 84.2, 0.612; GCF_016464335.1, s__Aliivibrio fischeri, 95.1568, 83.27, 0.663; GCF_009727955.1, s__Aliivibrio fischeri_A, 95.1568, 83.12, 0.659; GCA_016764915.1, s__Aliivibrio sp016764915, 95.0, 78.02, 0.141	97.74	11	0.9956	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
10_S9_contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_000422685.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium gelidilacus	88.03	0.747	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002862805.1, s__Flavobacterium sp002862805, 95.0, 80.49, 0.539; GCF_006491595.2, s__Flavobacterium jejuense, 95.0, 79.02, 0.412; GCA_002483315.1, s__Flavobacterium sp002483315, 95.0, 78.84, 0.42; GCF_009495755.1, s__Flavobacterium sp009495755, 95.0, 78.82, 0.434; GCA_000169355.1, s__Flavobacterium sp000169355, 95.0, 78.81, 0.449; GCF_011392075.1, s__Flavobacterium celericrescens, 95.0, 78.72, 0.4; GCA_003497625.1, s__Flavobacterium sp003497625, 95.0, 78.7, 0.449; GCA_012032075.1, s__Flavobacterium sp012032075, 95.0, 78.66, 0.354; GCF_004363695.1, s__Flavobacterium cheniae, 95.0, 78.63, 0.43; GCA_004293165.1, s__Flavobacterium sp004293165, 95.0, 78.59, 0.452; GCF_003259835.1, s__Flavobacterium aquaticum, 95.0, 78.58, 0.424; GCF_000686885.1, s__Flavobacterium sasangense, 95.0, 78.52, 0.385; GCF_000967805.1, s__Flavobacterium sp000967805, 95.0, 78.48, 0.39; GCF_009363055.1, s__Flavobacterium haoranii, 95.0, 78.47, 0.351; GCA_018401995.1, s__Flavobacterium sp018401995, 95.0, 78.45, 0.362; GCF_003293845.1, s__Flavobacterium tibetense, 95.0, 78.44, 0.367; GCA_001464475.1, s__Flavobacterium sp001464475, 95.0, 78.43, 0.336; GCA_019105125.1, s__Flavobacterium sp019105125, 95.0, 78.42, 0.375; GCA_017983975.1, s__Flavobacterium sp017983975, 95.0, 78.41, 0.414; GCF_900108955.1, s__Flavobacterium terrigena, 95.0, 78.4, 0.33; GCF_000757385.1, s__Flavobacterium aquatile, 95.0, 78.39, 0.306; GCF_900110615.1, s__Flavobacterium urocaniciphilum, 95.0, 78.37, 0.328; GCA_003525665.1, s__Flavobacterium sp003525665, 95.0, 78.36, 0.314; GCF_015223105.1, s__Flavobacterium aquaticum_A, 95.0, 78.35, 0.42; GCF_900148835.1, s__Flavobacterium cucumis, 95.0, 78.31, 0.358; GCF_011305415.1, s__Flavobacterium bernardetii, 95.0, 78.28, 0.32; GCF_006491645.1, s__Flavobacterium sp006491645, 95.0, 78.27, 0.33; GCA_003963025.1, s__Flavobacterium sp003963025, 95.0, 78.26, 0.433; GCA_002422095.1, s__Flavobacterium sp002422095, 95.0, 78.18, 0.418; GCA_014763515.1, s__Flavobacterium sp014763515, 95.0, 78.16, 0.374; GCA_013298525.1, s__Flavobacterium sp013298525, 95.0, 78.14, 0.357; GCA_002421645.1, s__Flavobacterium sp002421645, 95.0, 78.14, 0.467; GCA_017985075.1, s__Flavobacterium sp017985075, 95.0, 78.13, 0.379; GCA_002715085.1, s__Flavobacterium sp002715085, 95.0, 78.1, 0.31; GCA_001800945.1, s__Flavobacterium sp001800945, 95.0, 78.08, 0.341; GCF_004362665.1, s__Flavobacterium dankookense, 95.0, 78.05, 0.271; GCF_011392115.1, s__Flavobacterium sp011392115, 95.0, 78.01, 0.332; GCF_902506265.1, s__Flavobacterium sp902506265, 95.0, 77.96, 0.356; GCA_004293045.1, s__Flavobacterium sp004293045, 95.0, 77.95, 0.373; GCF_014486675.1, s__Flavobacterium macrobrachii, 95.0, 77.95, 0.261; GCF_012911605.1, s__Flavobacterium sp012911605, 95.0, 77.89, 0.304; GCF_004303025.1, s__Flavobacterium sp004303025, 95.0, 77.87, 0.372; GCA_903889745.1, s__Flavobacterium sp903889745, 95.0, 77.85, 0.402; GCF_004122165.1, s__Flavobacterium sp004122165, 95.0, 77.83, 0.241; GCF_014638005.1, s__Flavobacterium orientale, 95.0, 77.79, 0.246; GCA_016718345.1, s__Flavobacterium sp016718345, 95.0, 77.75, 0.201; GCF_003096035.1, s__Flavobacterium album, 95.0, 77.72, 0.032; GCA_002862755.1, s__Flavobacterium sp002862755, 95.0, 77.71, 0.318; GCA_903879645.1, s__Flavobacterium sp903879645, 95.0, 77.63, 0.269; GCF_014642275.1, s__Flavobacterium lutivivi, 95.0, 77.63, 0.276; GCF_000455605.1, s__Flavobacterium indicum, 95.0, 77.62, 0.27; GCF_000498495.1, s__Flavobacterium enshiense, 95.0, 77.58, 0.121; GCF_900100625.1, s__Flavobacterium saliperosum, 95.0, 77.58, 0.128; GCF_013389455.1, s__Flavobacterium sp001898245, 95.0, 77.57, 0.113; GCF_000498535.1, s__Flavobacterium limnosediminis, 95.0, 77.57, 0.127; GCA_003246205.1, s__Flavobacterium haoranii_A, 95.0, 77.56, 0.272; GCF_000425465.1, s__Flavobacterium filum, 95.0, 77.52, 0.227; GCF_004122145.1, s__Flavobacterium piscinae, 95.0, 77.5, 0.214; GCF_003148385.1, s__Flavobacterium sediminis, 95.0, 77.48, 0.182; GCA_002352205.1, s__Flavobacterium sp002352205, 95.0, 77.47, 0.233; GCF_007097145.1, s__Flavobacterium sp007097145, 95.0, 77.46, 0.052; GCA_016714905.1, s__Flavobacterium sp016714905, 95.0, 77.42, 0.131; GCF_004151245.1, s__Flavobacterium beibuense_A, 95.0, 77.38, 0.066; GCF_008000935.1, s__Flavobacterium alkalisoli, 95.0, 77.37, 0.074; GCF_004797125.1, s__Flavobacterium sangjuense, 95.0, 77.37, 0.215; GCF_004745595.1, s__Flavobacterium humi, 95.0, 77.35, 0.089; GCF_003344925.1, s__Flavobacterium arcticum, 95.0, 77.34, 0.102; GCA_017303755.1, s__Flavobacterium sp017303755, 95.0, 77.32, 0.221; GCA_016787805.1, s__Flavobacterium sp016787805, 95.0, 77.31, 0.2; GCF_003268815.1, s__Flavobacterium lacus, 95.0, 77.31, 0.215; GCA_017984495.1, s__Flavobacterium sp017984495, 95.0, 77.29, 0.29; GCA_016721735.1, s__Flavobacterium sp016721735, 95.0, 77.29, 0.126; GCF_003268855.1, s__Flavobacterium aciduliphilum, 95.0, 77.28, 0.205; GCA_018062725.1, s__Flavobacterium sp018062725, 95.0, 77.23, 0.228; GCF_004801375.1, s__Flavobacterium sp004801375, 95.0, 77.18, 0.099; GCA_002428305.1, s__Flavobacterium sp002428305, 95.0, 77.17, 0.233; GCF_013072765.1, s__Flavobacterium sp013072765, 95.0, 77.17, 0.171; GCA_017302935.1, s__Flavobacterium sp017302935, 95.0, 77.16, 0.228; GCF_000769915.1, s__Flavobacterium beibuense, 95.0, 77.12, 0.071; GCF_004329815.1, s__Flavobacterium silvisoli, 95.0, 77.11, 0.133; GCF_010119235.1, s__Flavobacterium phycosphaerae, 95.0, 77.1, 0.163; GCF_000498475.1, s__Flavobacterium cauense, 95.0, 77.08, 0.152; GCF_003403075.1, s__Flavobacterium sp003403075, 95.0, 77.08, 0.052; GCA_018065745.1, s__Flavobacterium sp018065745, 95.0, 77.08, 0.137; GCF_000422725.1, s__Flavobacterium subsaxonicum, 95.0, 77.07, 0.046; GCA_903902795.1, s__Flavobacterium sp903902795, 95.0, 77.05, 0.197; GCF_011742145.1, s__Flavobacterium sp011742145, 95.0, 77.01, 0.171; GCF_001278115.1, s__Flavobacterium akiainvivens, 95.0, 77.01, 0.046; GCF_009848495.1, s__Flavobacterium sp009848495, 95.0, 76.99, 0.057; GCA_903842575.1, s__Flavobacterium sp903842575, 95.0, 76.98, 0.252; GCA_013822155.1, s__Flavobacterium sp013822155, 95.0, 76.94, 0.243; GCF_002251835.1, s__Flavobacterium cyanobacteriorum, 95.0, 76.84, 0.045; GCF_009741375.1, s__Flavobacterium rakeshii, 95.0, 76.84, 0.071; GCF_004122105.1, s__Flavobacterium sp004122105, 95.0, 76.83, 0.101; GCF_900129405.1, s__Flavobacterium fontis, 95.0, 76.79, 0.082; GCA_002714575.1, s__Flavobacterium sp002714575, 95.0, 76.73, 0.038; GCF_000430025.1, s__Flavobacterium suncheonense, 95.0, 76.7, 0.107; GCF_014642915.1, s__Flavobacterium suaedae, 95.0, 76.66, 0.093; GCF_004634195.1, s__Flavobacterium sp004634195, 95.0, 76.51, 0.073	98.43	11	0.98967	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
11_S11_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus	GCF_001558015.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus	96.89	0.856	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
12_S12_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio anguillarum	GCF_001989995.2	96.3484	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio anguillarum	97.79	0.911	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_000257205.1, s__Vibrio ordalii, 96.3484, 96.77, 0.852	N/A	N/A	N/A	N/A
12_S1_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__	N/A	N/A	N/A	N/A	N/A	GCF_900312675.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio sp900312675	92.75	0.82	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000953695.1, s__Aliivibrio wodanis, 95.0, 88.97, 0.687; GCF_008933155.1, s__Aliivibrio finisterrensis, 95.0, 87.58, 0.781; GCF_002954715.1, s__Aliivibrio sifiae, 95.0, 87.1, 0.71; GCF_002954705.1, s__Aliivibrio sifiae_A, 95.0, 86.94, 0.69; GCF_001690985.1, s__Aliivibrio sp001690985, 95.0, 86.65, 0.72; GCF_000196495.1, s__Aliivibrio salmonicida_A, 95.0, 84.01, 0.609; GCF_009727955.1, s__Aliivibrio fischeri_A, 95.1568, 83.46, 0.654; GCF_016464335.1, s__Aliivibrio fischeri, 95.1568, 83.43, 0.641; GCA_016764915.1, s__Aliivibrio sp016764915, 95.0, 78.01, 0.139	96.9	11	0.99536	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
13_S13_contigs	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000247645.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp000247645	83.55	0.706	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_015864945.1, s__Rhodoglobus sp015864945, 95.0, 85.22, 0.716; GCF_015864955.1, s__Rhodoglobus sp015864955, 95.0, 85.09, 0.683; GCF_015864575.1, s__Rhodoglobus sp015864575, 95.0, 84.69, 0.658; GCF_015864665.1, s__Rhodoglobus sp015864665, 95.0, 84.65, 0.663; GCF_002797685.1, s__Rhodoglobus amurskyensis, 95.0, 83.2, 0.695; GCF_004118935.1, s__Rhodoglobus sp004118935, 95.0, 82.98, 0.619; GCA_000153145.1, s__Rhodoglobus sp000153145, 95.0, 81.91, 0.618; GCF_006788895.1, s__Rhodoglobus vestalii, 95.0, 80.73, 0.499; GCF_013410945.1, s__Rhodoglobus sp013410945, 95.0, 78.01, 0.163; GCF_015752305.1, s__Rhodoglobus sp015752305, 95.0, 77.68, 0.171; GCF_014645015.1, s__Rhodoglobus xinjiangensis, 95.0, 77.68, 0.155; GCA_001725325.1, s__Rhodoglobus sp001725325, 95.0, 77.49, 0.187; GCA_903920435.1, s__Rhodoglobus sp903920435, 95.0, 77.45, 0.179; GCA_004297555.1, s__Rhodoglobus sp004297555, 95.0, 77.43, 0.169	95.33	11	0.99511	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
14_S2_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio salmonicida_A	GCF_000196495.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio salmonicida_A	97.37	0.799	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
15_S3_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio wodanis	GCA_000953695.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio wodanis	98.57	0.904	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
18_S4_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus	GCF_001558015.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus	95.0	0.85	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
19_S5_contigs	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus	GCF_001558015.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus	95.05	0.847	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
